i18n=>,TW,JP,US,CN,KR
all,全部,全部,all,全部,
exchange,交易所,取引所,,交易所,
your_profit,您的盈利,お客様の収益,,您的盈利,
go_to__withdrawal_address,前往出金地址,出金先アドレス,,前往出金地址,
unbind,未綁定,バインディングされていない,,未绑定,
bound,已綁定,バインディングされている,,已绑定,
fdb_home,FDB首頁,FDBホームページ,,FDB首页,
latest_news,最新消息,最新ニュース,,最新消息,
contact_us,聯絡我們,お問い合わせ,,联络我们,
disclaimer,免責聲明,免責声明,,免责声明,
privacy_policy,隱私條款,プライバシーポリシー,,隐私条款,
personal_information,個人資訊管理,個人情報管理,,个人资讯管理,
overview_rebate,返佣交易總覽,リベート取引一覧,,返佣交易总览,
logout,登出,ロックアウト,,登出,
login,登入,ログイン,,登入,
register,註冊,新規登録,,注册,
exchange_not_yet_bound,交易所尚未綁定，無法查看交易總覽。,取引所バインディングされていないので取引一覧を調べられません,,交易所尚未绑定，无法查看交易总览。,
Taiwan,台灣,台灣,,台湾,
China_Mainland,中國大陸,中国,,中国大陆,
Hongkong,香港,ホンコン,,香港,
Japan,日本,日本,,日本,
South_Korea,韓國,韓国,,韩国,
Philippines,菲律賓,フィリピン,,菲律宾,
Singapore,新加坡,シンガポール,,新加坡,
Malaysia,馬來西亞,マレーシア,,马来西亚,
America,美國,米国,,美国,
forum,論壇,フォーラム,,论坛,
announcement,公告,公告,,公告,
activity,活動,キャンペーン,,活动,
connection_error,連線錯誤,接続エラー,,连线错误,
screening_time,篩選時間,時間枠を選択する,,筛选时间,
to,至,から,,至,
start_time,開始時間,開始時間,,开始时间,
end_time,結束時間,終了時間,,结束时间,
filter,篩選,選りすぐる,,筛选,
sort,排序,順序,,排序,
trade_date,交易日期,取引日,,交易日期,
trade_coin_type,交易幣別,取引通貨,,交易币别,
change_type,異動類別,異動類別,,异动类别,
change_number,異動數量,異動数,,异动数量,
rest_number,剩餘數量,残り,,剩馀数量,
currency,幣別,通貨,,币别,
close,關閉,閉じる,,关闭,
sort_field,排序欄位,順序欄,,排序栏位,
start_date,開始日期,開始日,,开始日期,
end_date,結束日期,終了日,,结束日期,
sort_by,排序方式,並び替え,,排序方式,
positive_order,正序,昇順,,正序,
reverse_order,倒序,降順,,倒序,
personal,個人,個人,,个人,
referrer,推薦人,紹介者,,推荐人,
withdrawal,出金,出金,,出金,
activity_change,活動異動,イベント異動,,活动异动,
undefined,未定義,未定義,,未定义,
personal_rebate_number,個人返佣數量,個人リベート数,,个人返佣数量,
referrer_rebate_number,推薦人返佣數量,紹介者リベート数,,推荐人返佣数量,
withdrawal_quantity,出金數量,出金数,,出金数量,
week,一週,一週間,,一週,
month,一月,一か月,,一月,
season,一季,ワンシーズン,,一季,
filter_time,篩選時間,時間枠を選択する,,筛选时间,
rebate_status,返佣狀態,リベート状態,,返佣状态,
rebate_trading_volume,可返佣交易量,リベートを取引できる数量,,可返佣交易量,
rebate_quantity,可返佣數量,リベートできる数量,,可返佣数量,
no_rebate,未返佣,リベートまだされていません,,未返佣,
be_rebate,已返佣,リベートをされました,,已返佣,
enter_member_keyword,輸入會員名稱關鍵字,会員ネームの関連キーワードを入力してください,,输入会员名称关键字,
manage_group,管理組別,グループを管理する,,管理组别,
member_name,會員名稱,会員ネーム,,会员名称,
referrer_group,推薦人分組,紹介者組分け,,推荐人分组,
no_group,未分組,組分けを分けていない,,未分组,
application_status,申請狀態,申請状態,,申请状态,
application_number,申請單號,申請番号,,申请单号,
apply_withdrawal_time,申請出金時間,申請出金時間,,申请出金时间,
apply_coin_type,申請幣別,申請通貨,,申请币别,
apply_number,申請數量,申請数量,,申请数量,
completed_withdrawal_date,完成出金日期,出金完了日,,完成出金日期,
applying,申請中,申請中,,申请中,
withdrawal,出金中,出金中,,出金中,
completed,已完成,完了しました,,已完成,
commission_detail,佣金明細,コミッション明細,,佣金明细,
withdrawal_apply,出金申請,出金申請,,出金申请,
your_commission_change_record,您的佣金異動紀錄,お客様の手数料異動記録,,您的佣金异动纪录,
personal_rebate_information,個人返佣資訊,個人リベート情報,,个人返佣资讯,
referrer_rebate_information,推薦人返佣資訊,紹介者リベート情報,,推荐人返佣资讯,
withdrawal_apply_record,出金申請紀錄,出金申請記録,,出金申请纪录,
latest_events_news,最新活動與消息,新着情報。お知らせ,,最新活动与消息,
fdb_can_help_you,返多寶可以幫你,FDBをサポート,,返多宝可以帮你,
featured_information,返多寶會員特色資訊，可以達到有效管理與圖表統,FDBユーザーへの特色情報ついては統計図や管理は効果的に達成できます,,返多宝会员特色资讯，可以达到有效管理与图表统,
independent_account_binding,獨立的帳號綁定,独立なアカウントをバインディング,,独立的帐号绑定,
independent_account_verification,平台之間獨立帳號驗證，確保資料的安全信任度,情報システムは独立なアカウントを検証し、セキュリティ信頼度を確保します,,平台之间独立帐号验证，确保资料的安全信任度,
revenue_visualization,佣金收入視覺化,コミッション収入視覚化,,佣金收入视觉化,
clearly_classified_rebates,清楚分類返佣種類與金額，幫助會員快速檢視返佣狀態,リベートの種類と金額を明確に分類し、会員様にリベート状況を素早い確認できます,,清楚分类返佣种类与金额，帮助会员快速检视返佣状态,
improve_information_management,完善資訊管理,完備の情報管理,,完善资讯管理,
easy_members _control,多家交易所與貨幣地址管理，便於會員控管資料,複数の取引所と通貨アドレス管理、会員様に情報を管理しやすい,,多家交易所与货币地址管理，便于会员控管资料,
online_service_team,在線客服團隊,オンライン．サービスグループ,,在线客服团队,
professional_service,專業提供24客服服務，隨時隨地回應您的建議及疑問,24時間カスタマーサービスを提供し、いつでもご提案やご質問に回答いたします,,专业提供24客服服务，随时随地回应您的建议及疑问,
start_using,開始使用,使用開始,,开始使用,
start_rebate_journey,開始返佣旅程,リベートの旅を始める,,开始返佣旅程,
three_steps,只需要三個步驟,ただ３ステップ,,只需要三个步骤,
join_fdb,加入返多寶,FDBに参加する,,加入返多宝,
quick_member_registration,快速註冊會員,今すぐ会員の申し込みを,,快速注册会员,
bound_exchange,綁定交易所,取引所をバインディングする,,绑定交易所,
enter_exchange_information,輸入交易所註冊資訊,取引所の申し込み情報を入力してください,,输入交易所注册资讯,
start_rebate,開始返佣,リベートを始める,,开始返佣,
you_trade_i_rebate,您交易，我返佣,取引していただきFDBをリベートする,,您交易，我返佣,
